CameraName,id
Pasteur - Hàm Nghi, 5deb576d1dc17d7c5515ad1e
Trần Hưng Đạo - Nguyễn Thái Học 2, 5a823bd55058170011f6eaa0
Khánh Hội - Hoàng Diệu,5f000000942cda00169edfe1
Hoàng Diệu - Cầu Ông Lãnh, 5deb576d1dc17d7c5515ad1b
Khánh Hội - Đường 41,5effffbf942cda00169edfda
Khánh Hội - Vĩnh Hội,5f0e6570942cda00169ee20f
Khánh Hội - Cầu Kênh Tẻ,5f0e651e942cda00169ee209
Nguyễn Tất Thành - Cầu Khánh Hội,5f0e65fe942cda00169ee218
Nguyễn Tất Thành - Đoàn Như Hải,5f0e6664942cda00169ee220
Nguyễn Tất Thành - Hoàng Diệu,5deb576d1dc17d7c5515ad1c
Nguyễn Tất Thành - Lê Văn Linh,5f0e67c2942cda00169ee229
Nguyễn Tất Thành - Tôn Đản,5b19d34faf4ff60011d6ea52
Nguyễn Tất Thành - Cảng Sài Gòn (Q4-Q7),5f71aecb24279100160515c8
Nguyễn Tất Thành - Cảng Sài Gòn (Q7-Q4),5f71adbd24279100160515c5
Đường Hầm - Tp Thủ Đức 1,5990ffdbbec3b90016d2ad2d
Đường Hầm - Tp Thủ Đức 2,56f8e7c9025e9511002786d1
Đường Hầm - Tp Thủ Đức 3,5b87c386ca057700116404a6
Mai Chí Thọ - Tố Hữu,5a10c79f02eb490011a0b0dd
Đường Hầm - Tp Thủ Đức 4,56f8e796025e9511002786cf
Mai Chí Thọ - Nguyễn Cơ Thạch 1, 5822b5ededeb6c0012a2d66a
Mai Chí Thọ - Nguyễn Cơ Thạch 2,56de42f611f398ec0c481286
Nguyễn Tất Thành - Cầu Tân Thuận 1,5f0e6716942cda00169ee226
Cầu Tân Thuận 2 - Quận 7 (Q4-Q7), 5f7533b724279100160516b9
Cầu Tân Thuận 2 - Quận 7 (Q7-Q4),5f71aada24279100160515c2
